1;seq;158000
1;seq;29000
1;seq;57600
1;seq;22000
1;seq;13800
1;seq;7100
1;seq;22400
1;seq;7100
1;seq;6600
1;seq;13500
1;seq;26800
1;seq;58400
1;seq;8800
1;seq;7200
1;seq;7100
1;seq;8200
1;seq;6000
1;seq;5300
1;seq;5000
1;seq;5100
1;seq;5000
1;seq;7800
1;seq;5300
1;seq;5300
1;seq;5300
1;seq;5200
1;seq;4900
1;seq;38400
1;seq;32200
1;seq;9700
2;seq;11100
2;seq;7300
2;seq;5300
2;seq;7200
2;seq;5600
2;seq;5000
2;seq;4900
2;seq;5100
2;seq;5000
2;seq;8400
2;seq;6700
2;seq;5200
2;seq;6900
2;seq;16000
2;seq;6100
2;seq;21000
2;seq;3148400
2;seq;8300
2;seq;5900
2;seq;5000
2;seq;4800
2;seq;4700
2;seq;4700
2;seq;4800
2;seq;4800
2;seq;5000
2;seq;4900
2;seq;5100
2;seq;22100
2;seq;5200
4;seq;7800
4;seq;5400
4;seq;4900
4;seq;10100
4;seq;4900
4;seq;4400
4;seq;4500
4;seq;4900
4;seq;4500
4;seq;4300
4;seq;4300
4;seq;6300
4;seq;4400
4;seq;4300
4;seq;4300
4;seq;22700
4;seq;25400
4;seq;4400
4;seq;4200
4;seq;12700
4;seq;7100
4;seq;11600
4;seq;13300
4;seq;12900
4;seq;8000
4;seq;4400
4;seq;5800
4;seq;6600
4;seq;4100
4;seq;11700
8;seq;4700
8;seq;4100
8;seq;4500
8;seq;4200
8;seq;4000
8;seq;4000
8;seq;4100
8;seq;4000
8;seq;3800
8;seq;3900
8;seq;3700
8;seq;24100
8;seq;5800
8;seq;5600
8;seq;6800
8;seq;6700
8;seq;7800
8;seq;7500
8;seq;5400
8;seq;5800
8;seq;16400
8;seq;4300
8;seq;22600
8;seq;7200
8;seq;7100
8;seq;15700
8;seq;9300
8;seq;19600
8;seq;9500
8;seq;6800
1;par;2514800
1;par;406900
1;par;244500
1;par;364300
1;par;305800
1;par;225600
1;par;266100
1;par;283400
1;par;278400
1;par;271300
1;par;196400
1;par;239300
1;par;359400
1;par;323000
1;par;366600
1;par;333400
1;par;249700
1;par;236300
1;par;322000
1;par;209600
1;par;179200
1;par;172900
1;par;192800
1;par;157500
1;par;155100
1;par;161100
1;par;157900
1;par;160400
1;par;152300
1;par;159000
2;par;229700
2;par;216000
2;par;204300
2;par;212700
2;par;208700
2;par;224900
2;par;218200
2;par;275400
2;par;316500
2;par;227900
2;par;206900
2;par;233200
2;par;229700
2;par;288900
2;par;225700
2;par;250200
2;par;223400
2;par;224200
2;par;236400
2;par;215300
2;par;210300
2;par;206300
2;par;222700
2;par;204100
2;par;214600
2;par;251600
2;par;227600
2;par;216500
2;par;221000
2;par;207700
4;par;377800
4;par;336100
4;par;367600
4;par;377000
4;par;537200
4;par;480000
4;par;514700
4;par;388700
4;par;390600
4;par;398900
4;par;409800
4;par;420200
4;par;348100
4;par;544300
4;par;475100
4;par;358300
4;par;555400
4;par;484700
4;par;518900
4;par;548800
4;par;627000
4;par;831800
4;par;590200
4;par;579900
4;par;582700
4;par;566200
4;par;562600
4;par;570400
4;par;596800
4;par;780800
8;par;881000
8;par;5643500
8;par;3376700
8;par;4218600
8;par;7965100
8;par;2881900
8;par;3489300
8;par;1002100
8;par;844800
8;par;851600
8;par;961500
8;par;1040300
8;par;793600
8;par;934100
8;par;926900
8;par;850600
8;par;1055300
8;par;842300
8;par;900000
8;par;1146600
8;par;926300
8;par;885600
8;par;688800
8;par;903300
8;par;756700
8;par;677300
8;par;688000
8;par;886400
8;par;699600
8;par;929900
